,Household Size,,,,,,,,,,,,,,,
County,Income Type,1-person,2-person,3-person,4-person,5-person,6-person,7-person,8-person,,,,,,,
Adams,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Alamosa,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Arapahoe,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Archuleta,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Baca,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Bent,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Boulder,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $158,150","$83,400 - $180,750","$93,800 - $203,350","$104,200 - $225,900","$112,550 - $244,000","$120,900 - $262,050","$129,250 - $280,150","$137,550 - $298,200",,,,,,,
Broomfield,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Chaffee,Low Income,"$57,600","$65,800","$74,050","$82,250","$88,850","$95,450","$102,000","$108,600",,,,,,,
,Moderate Income,"$57,600 - $107,950","$65,800 - $123,400","$74,050 - $138,800","$82,250 - $154,200","$88,850 - $166,550","$95,450 - $178,900","$102,000 - $191,250","$108,600 - $203,550",,,,,,,
Cheyenne,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
