County,Household Size,Low Income Max,Moderate Income Max
Adams,1,72950,147150
Adams,2,83400,168150
Adams,3,93800,189150
Adams,4,104200,210150
Adams,5,112550,227000
Adams,6,120900,243800
Adams,7,129250,260600
Adams,8,137550,277400
Alamosa,1,57150,107100
Alamosa,2,65300,122400
Alamosa,3,73450,137700
Alamosa,4,81600,153000
Alamosa,5,88150,165250
Alamosa,6,94700,177500
Alamosa,7,101200,189750
Alamosa,8,107750,202000
Arapahoe,1,72950,147150
Arapahoe,2,83400,168150
Arapahoe,3,93800,189150
Arapahoe,4,104200,210150
Arapahoe,5,112550,227000
Arapahoe,6,120900,243800
Arapahoe,7,129250,260600
Arapahoe,8,137550,277400
Archuleta,1,57150,107100
Archuleta,2,65300,122400
Archuleta,3,73450,137700
Archuleta,4,81600,153000
Archuleta,5,88150,165250
Archuleta,6,94700,177500
Archuleta,7,101200,189750
Archuleta,8,107750,202000
Baca,1,57150,107100
Baca,2,65300,122400
Baca,3,73450,137700
Baca,4,81600,153000
Baca,5,88150,165250
Baca,6,94700,177500
Baca,7,101200,189750
Baca,8,107750,202000
Bent,1,57150,107100
Bent,2,65300,122400
Bent,3,73450,137700
Bent,4,81600,153000
Bent,5,88150,165250
Bent,6,94700,177500
Bent,7,101200,189750
Bent,8,107750,202000
Boulder,1,72950,158150
Boulder,2,83400,180750
Boulder,3,93800,203350
Boulder,4,104200,225900
Boulder,5,112550,244000
Boulder,6,120900,262050
Boulder,7,129250,280150
Boulder,8,137550,298200
Broomfield,1,72950,147150
Broomfield,2,83400,168150
Broomfield,3,93800,189150
Broomfield,4,104200,210150
Broomfield,5,112550,227000
Broomfield,6,120900,243800
Broomfield,7,129250,260600
Broomfield,8,137550,277400
Chaffee,1,57600,107950
Chaffee,2,65800,123400
Chaffee,3,74050,138800
Chaffee,4,82250,154200
Chaffee,5,88850,166550
Chaffee,6,95450,178900
Chaffee,7,102000,191250
Chaffee,8,108600,203550
Cheyenne,1,57150,107100
Cheyenne,2,65300,122400
Cheyenne,3,73450,137700
Cheyenne,4,81600,153000
Cheyenne,5,88150,165250
Cheyenne,6,94700,177500
Cheyenne,7,101200,189750
Cheyenne,8,107750,202000
Clear Creek,1,72950,147150
Clear Creek,2,83400,168150
Clear Creek,3,93800,189150
Clear Creek,4,104200,210150
Clear Creek,5,112550,227000
Clear Creek,6,120900,243800
Clear Creek,7,129250,260600
Clear Creek,8,137550,277400
Conejos,1,57150,107100
Conejos,2,65300,122400
Conejos,3,73450,137700
Conejos,4,81600,153000
Conejos,5,88150,165250
Conejos,6,94700,177500
Conejos,7,101200,189750
Conejos,8,107750,202000
Costilla,1,57150,107100
Costilla,2,65300,122400
Costilla,3,73450,137700
Costilla,4,81600,153000
Costilla,5,88150,165250
Costilla,6,94700,177500
Costilla,7,101200,189750
Costilla,8,107750,202000
Crowley,1,57150,107100
Crowley,2,65300,122400
Crowley,3,73450,137700
Crowley,4,81600,153000
Crowley,5,88150,165250
Crowley,6,94700,177500
Crowley,7,101200,189750
Crowley,8,107750,202000
Custer,1,57150,107100
Custer,2,65300,122400
Custer,3,73450,137700
Custer,4,81600,153000
Custer,5,88150,165250
Custer,6,94700,177500
Custer,7,101200,189750
Custer,8,107750,202000
Delta,1,57150,107100
Delta,2,65300,122400
Delta,3,73450,137700
Delta,4,81600,153000
Delta,5,88150,165250
Delta,6,94700,177500
Delta,7,101200,189750
Delta,8,107750,202000
Denver,1,72950,147150
Denver,2,83400,168150
Denver,3,93800,189150
Denver,4,104200,210150
Denver,5,112550,227000
Denver,6,120900,243800
Denver,7,129250,260600
Denver,8,137550,277400
Dolores,1,57550,107850
Dolores,2,65750,123250
Dolores,3,73950,138650
Dolores,4,82150,154050
Dolores,5,88750,166400
Dolores,6,95300,178700
Dolores,7,101900,191050
Dolores,8,108450,203350
Douglas,1,72950,147150
Douglas,2,83400,168150
Douglas,3,93800,189150
Douglas,4,104200,210150
Douglas,5,112550,227000
Douglas,6,120900,243800
Douglas,7,129250,260600
Douglas,8,137550,277400
Eagle,1,72950,139900
Eagle,2,83400,159850
Eagle,3,93800,179850
Eagle,4,104200,199800
Eagle,5,112550,215800
Eagle,6,120900,231800
Eagle,7,129250,247800
Eagle,8,137550,263750
El Paso,1,63000,118150
El Paso,2,72000,135000
El Paso,3,81000,151900
El Paso,4,90000,168750
El Paso,5,97200,182250
El Paso,6,104400,195750
El Paso,7,111600,209250
El Paso,8,118800,222750
Elbert,1,72950,147150
Elbert,2,83400,168150
Elbert,3,93800,189150
Elbert,4,104200,210150
Elbert,5,112550,227000
Elbert,6,120900,243800
Elbert,7,129250,260600
Elbert,8,137550,277400
Fremont,1,57150,107100
Fremont,2,65300,122400
Fremont,3,73450,137700
Fremont,4,81600,153000
Fremont,5,88150,165250
Fremont,6,94700,177500
Fremont,7,101200,189750
Fremont,8,107750,202000
Garfield,1,59150,110900
Garfield,2,67600,126750
Garfield,3,76050,142600
Garfield,4,84500,158400
Garfield,5,91300,171100
Garfield,6,98050,183750
Garfield,7,104800,196450
Garfield,8,111550,209100
Gilpin,1,72950,147150
Gilpin,2,83400,168150
Gilpin,3,93800,189150
Gilpin,4,104200,210150
Gilpin,5,112550,227000
Gilpin,6,120900,243800
Gilpin,7,129250,260600
Gilpin,8,137550,277400
Grand,1,62750,117600
Grand,2,71700,134400
Grand,3,80650,151200
Grand,4,89600,168000
Grand,5,96800,181450
Grand,6,103950,194900
Grand,7,111150,208350
Grand,8,118300,221800
Gunnison,1,63000,118150
Gunnison,2,72000,135000
Gunnison,3,81000,151900
Gunnison,4,90000,168750
Gunnison,5,97200,182250
Gunnison,6,104400,195750
Gunnison,7,111600,209250
Gunnison,8,118800,222750
Hinsdale,1,57150,107100
Hinsdale,2,65300,122400
Hinsdale,3,73450,137700
Hinsdale,4,81600,153000
Hinsdale,5,88150,165250
Hinsdale,6,94700,177500
Hinsdale,7,101200,189750
Hinsdale,8,107750,202000
Huerfano,1,57150,107100
Huerfano,2,65300,122400
Huerfano,3,73450,137700
Huerfano,4,81600,153000
Huerfano,5,88150,165250
Huerfano,6,94700,177500
Huerfano,7,101200,189750
Huerfano,8,107750,202000
Jackson,1,57150,107100
Jackson,2,65300,122400
Jackson,3,73450,137700
Jackson,4,81600,153000
Jackson,5,88150,165250
Jackson,6,94700,177500
Jackson,7,101200,189750
Jackson,8,107750,202000
Jefferson,1,72950,147150
Jefferson,2,83400,168150
Jefferson,3,93800,189150
Jefferson,4,104200,210150
Jefferson,5,112550,227000
Jefferson,6,120900,243800
Jefferson,7,129250,260600
Jefferson,8,137550,277400
Kiowa,1,57150,107100
Kiowa,2,65300,122400
Kiowa,3,73450,137700
Kiowa,4,81600,153000
Kiowa,5,88150,165250
Kiowa,6,94700,177500
Kiowa,7,101200,189750
Kiowa,8,107750,202000
Kit Carson,1,57150,107100
Kit Carson,2,65300,122400
Kit Carson,3,73450,137700
Kit Carson,4,81600,153000
Kit Carson,5,88150,165250
Kit Carson,6,94700,177500
Kit Carson,7,101200,189750
Kit Carson,8,107750,202000
La Plata,1,65800,123400
La Plata,2,75200,141000
La Plata,3,84600,158650
La Plata,4,94000,176250
La Plata,5,101550,190350
La Plata,6,109050,204450
La Plata,7,116600,218550
La Plata,8,124100,232650
Lake,1,58550,109750
Lake,2,66900,125400
Lake,3,75250,141100
Lake,4,83600,156750
Lake,5,90300,169300
Lake,6,97000,181850
Lake,7,103700,194400
Lake,8,110400,206950
Larimer,1,71500,134000
Larimer,2,81700,153150
Larimer,3,91900,172300
Larimer,4,102100,191400
Larimer,5,110300,206750
Larimer,6,118450,222050
Larimer,7,126650,237350
Larimer,8,134800,252650
Las Animas,1,57150,107100
Las Animas,2,65300,122400
Las Animas,3,73450,137700
Las Animas,4,81600,153000
Las Animas,5,88150,165250
Las Animas,6,94700,177500
Las Animas,7,101200,189750
Las Animas,8,107750,202000
Lincoln,1,57150,107100
Lincoln,2,65300,122400
Lincoln,3,73450,137700
Lincoln,4,81600,153000
Lincoln,5,88150,165250
Lincoln,6,94700,177500
Lincoln,7,101200,189750
Lincoln,8,107750,202000
Logan,1,57150,107100
Logan,2,65300,122400
Logan,3,73450,137700
Logan,4,81600,153000
Logan,5,88150,165250
Logan,6,94700,177500
Logan,7,101200,189750
Logan,8,107750,202000
Mesa,1,57150,107100
Mesa,2,65300,122400
Mesa,3,73450,137700
Mesa,4,81600,153000
Mesa,5,88150,165250
Mesa,6,94700,177500
Mesa,7,101200,189750
Mesa,8,107750,202000
Mineral,1,57150,107100
Mineral,2,65300,122400
Mineral,3,73450,137700
Mineral,4,81600,153000
Mineral,5,88150,165250
Mineral,6,94700,177500
Mineral,7,101200,189750
Mineral,8,107750,202000
Moffat,1,57150,107100
Moffat,2,65300,122400
Moffat,3,73450,137700
Moffat,4,81600,153000
Moffat,5,88150,165250
Moffat,6,94700,177500
Moffat,7,101200,189750
Moffat,8,107750,202000
Montezuma,1,57150,107100
Montezuma,2,65300,122400
Montezuma,3,73450,137700
Montezuma,4,81600,153000
Montezuma,5,88150,165250
Montezuma,6,94700,177500
Montezuma,7,101200,189750
Montezuma,8,107750,202000
Montrose,1,57150,107100
Montrose,2,65300,122400
Montrose,3,73450,137700
Montrose,4,81600,153000
Montrose,5,88150,165250
Montrose,6,94700,177500
Montrose,7,101200,189750
Montrose,8,107750,202000
Morgan,1,57150,107100
Morgan,2,65300,122400
Morgan,3,73450,137700
Morgan,4,81600,153000
Morgan,5,88150,165250
Morgan,6,94700,177500
Morgan,7,101200,189750
Morgan,8,107750,202000
Otero,1,57150,107100
Otero,2,65300,122400
Otero,3,73450,137700
Otero,4,81600,153000
Otero,5,88150,165250
Otero,6,94700,177500
Otero,7,101200,189750
Otero,8,107750,202000
Ouray,1,58550,109750
Ouray,2,66900,125400
Ouray,3,75250,141100
Ouray,4,83600,156750
Ouray,5,90300,169300
Ouray,6,97000,181850
Ouray,7,103700,194400
Ouray,8,110400,206950
Park,1,72950,147150
Park,2,83400,168150
Park,3,93800,189150
Park,4,104200,210150
Park,5,112550,227000
Park,6,120900,243800
Park,7,129250,260600
Park,8,137550,277400
Phillips,1,57150,107100
Phillips,2,65300,122400
Phillips,3,73450,137700
Phillips,4,81600,153000
Phillips,5,88150,165250
Phillips,6,94700,177500
Phillips,7,101200,189750
Phillips,8,107750,202000
Pitkin,1,72950,144200
Pitkin,2,83400,164800
Pitkin,3,93800,185400
Pitkin,4,104200,205950
Pitkin,5,112550,222450
Pitkin,6,120900,238950
Pitkin,7,129250,255400
Pitkin,8,137550,271900
Prowers,1,57150,107100
Prowers,2,65300,122400
Prowers,3,73450,137700
Prowers,4,81600,153000
Prowers,5,88150,165250
Prowers,6,94700,177500
Prowers,7,101200,189750
Prowers,8,107750,202000
Pueblo,1,57150,107100
Pueblo,2,65300,122400
